,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
237787,24.0,38.05,95780.62,0.48,0.72,0.07,27.17,8.09,12/02/2024,10:42:15,43.358002,11.313535,338.6
237788,23.21,39.99,95883.78,0.59,0.67,0.07,26.15,14.95,12/02/2024,10:42:20,43.358002,11.313535,338.6
237789,22.42,41.92,95986.24,0.69,0.62,0.07,25.14,21.27,12/02/2024,10:42:25,43.358002,11.313535,338.6
237790,21.63,43.84,96089.44,0.8,0.57,0.07,24.13,27.32,12/02/2024,10:42:30,43.358002,11.313535,338.6
237791,20.84,45.75,96192.99,0.9,0.52,0.07,23.13,32.89,12/02/2024,10:42:35,43.358002,11.313535,338.6
237792,20.06,47.66,96295.87,0.98,0.46,0.08,22.14,38.07,12/02/2024,10:42:40,43.358002,11.313535,338.6
237793,19.28,49.56,96398.62,1.08,0.41,0.08,21.15,43.0,12/02/2024,10:42:45,43.358002,11.313535,338.6
237794,18.5,51.45,96501.95,1.18,0.37,0.08,20.17,47.45,12/02/2024,10:42:50,43.358002,11.313535,338.6
237795,17.72,53.34,96604.94,1.26,0.33,0.08,19.19,51.64,12/02/2024,10:42:55,43.358002,11.313535,338.6
237796,16.94,55.21,96707.81,1.34,0.28,0.08,18.22,55.73,12/02/2024,10:43:00,43.358002,11.313535,338.6
237797,16.97,55.11,96707.73,1.29,0.29,0.08,18.28,52.28,12/02/2024,10:43:05,43.358002,11.313535,338.6
237798,16.99,55.02,96707.79,1.29,0.3,0.08,18.34,49.2,12/02/2024,10:43:10,43.358002,11.313535,338.6
237799,17.01,54.93,96708.26,1.28,0.3,0.08,18.4,46.64,12/02/2024,10:43:15,43.358002,11.313535,338.6
237800,17.03,54.81,96708.49,1.27,0.31,0.08,18.46,44.51,12/02/2024,10:43:20,43.358002,11.313535,338.6
237801,17.05,54.66,96705.9,1.27,0.32,0.08,18.52,42.45,12/02/2024,10:43:25,43.358002,11.313535,338.6
237802,17.06,54.5,96702.84,1.28,0.34,0.07,18.57,40.51,12/02/2024,10:43:30,43.358067,11.313405,343.5
237803,17.07,54.38,96700.29,1.25,0.34,0.07,18.63,38.32,12/02/2024,10:43:35,43.358067,11.313405,343.5
237804,17.08,54.3,96696.85,1.23,0.34,0.07,18.68,37.63,12/02/2024,10:43:40,43.358067,11.313405,343.5
