,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
172167,22.81,30.41,99607.93,0.5,0.7,0.07,26.4,4.95,29/01/2024,00:00:01,43.358133,11.313507,340.8
172168,22.81,30.4,99607.59,0.51,0.7,0.07,26.4,4.99,29/01/2024,00:00:06,43.358133,11.313507,340.8
172169,22.81,30.4,99607.13,0.51,0.7,0.07,26.4,5.0,29/01/2024,00:00:11,43.358133,11.313507,340.8
172170,22.82,30.4,99607.32,0.52,0.69,0.07,26.4,5.0,29/01/2024,00:00:16,43.358133,11.313507,340.8
172171,22.82,30.4,99607.43,0.52,0.69,0.07,26.4,5.0,29/01/2024,00:00:21,43.358133,11.313507,340.8
172172,22.82,30.4,99607.55,0.53,0.69,0.07,26.4,5.0,29/01/2024,00:00:26,43.358133,11.313507,340.8
172173,22.82,30.4,99608.01,0.53,0.69,0.07,26.4,5.01,29/01/2024,00:00:31,43.358133,11.313507,340.8
172174,22.82,30.4,99608.01,0.53,0.69,0.07,26.4,5.03,29/01/2024,00:00:36,43.358133,11.313507,340.8
172175,22.81,30.4,99608.1,0.53,0.7,0.07,26.4,5.06,29/01/2024,00:00:41,43.358133,11.313507,340.8
172176,22.81,30.4,99607.66,0.52,0.7,0.07,26.4,5.06,29/01/2024,00:00:46,43.358133,11.313507,340.8
172177,22.82,30.4,99607.34,0.5,0.7,0.07,26.4,5.04,29/01/2024,00:00:51,43.358133,11.313507,340.8
172178,22.82,30.4,99607.18,0.48,0.7,0.07,26.4,5.02,29/01/2024,00:00:56,43.358133,11.313507,340.8
172179,22.83,30.4,99607.53,0.49,0.7,0.07,26.4,5.0,29/01/2024,00:01:01,43.358133,11.313507,340.8
172180,22.82,30.4,99607.25,0.5,0.71,0.07,26.4,4.98,29/01/2024,00:01:06,43.358133,11.313507,340.8
172181,22.82,30.4,99606.91,0.5,0.71,0.07,26.4,4.98,29/01/2024,00:01:11,43.358133,11.313507,340.8
172182,22.82,30.4,99606.64,0.5,0.71,0.07,26.4,4.97,29/01/2024,00:01:16,43.358133,11.313507,340.8
172183,22.82,30.4,99606.1,0.5,0.71,0.07,26.4,4.96,29/01/2024,00:01:21,43.358133,11.313507,340.8
172184,22.82,30.4,99605.94,0.5,0.71,0.07,26.4,4.94,29/01/2024,00:01:26,43.358133,11.313507,340.8
172185,22.82,30.4,99605.74,0.51,0.7,0.07,26.4,4.92,29/01/2024,00:01:31,43.358133,11.313507,340.8
172186,22.82,30.4,99605.94,0.5,0.7,0.07,26.4,4.92,29/01/2024,00:01:36,43.358133,11.313507,340.8
172187,22.81,30.4,99605.97,0.51,0.7,0.07,26.4,4.94,29/01/2024,00:01:41,43.358133,11.313507,340.8
172188,22.81,30.4,99606.31,0.52,0.7,0.07,26.4,4.95,29/01/2024,00:01:46,43.358133,11.313507,340.8
172189,22.8,30.4,99606.4,0.51,0.7,0.07,26.4,4.97,29/01/2024,00:01:51,43.358133,11.313507,340.8
172190,22.81,30.39,99606.41,0.51,0.7,0.07,26.4,5.01,29/01/2024,00:01:56,43.358133,11.313507,340.8
172191,22.81,30.38,99606.86,0.51,0.7,0.07,26.4,5.02,29/01/2024,00:02:01,43.358133,11.313507,340.8
172192,22.81,30.37,99606.85,0.51,0.7,0.07,26.4,5.0,29/01/2024,00:02:06,43.358133,11.313507,340.8
172193,22.82,30.36,99607.29,0.52,0.7,0.07,26.4,5.0,29/01/2024,00:02:11,43.358133,11.313507,340.8
172194,22.83,30.35,99607.26,0.54,0.7,0.07,26.4,5.02,29/01/2024,00:02:16,43.358133,11.313507,340.8
172195,22.83,30.34,99607.33,0.52,0.7,0.07,26.4,5.03,29/01/2024,00:02:21,43.358133,11.313507,340.8
172196,22.83,30.33,99607.12,0.53,0.7,0.07,26.4,5.01,29/01/2024,00:02:26,43.358133,11.313507,340.8
