,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
297546,23.12,32.89,98316.41,0.32,0.68,0.07,26.23,2.17,18/02/2024,19:05:27,43.358013,11.313505,341.6
297547,22.96,32.92,98417.28,0.28,0.66,0.07,25.87,3.18,18/02/2024,19:05:32,43.358013,11.313505,341.6
297548,22.8,32.96,98518.47,0.24,0.63,0.07,25.51,4.2,18/02/2024,19:05:37,43.358013,11.313505,341.6
297549,22.64,33.0,98620.43,0.2,0.61,0.07,25.16,5.23,18/02/2024,19:05:42,43.358013,11.313505,341.6
297550,22.49,33.14,98720.78,0.16,0.59,0.07,24.82,6.27,18/02/2024,19:05:47,43.358013,11.313505,341.6
297551,22.34,33.6,98821.51,0.14,0.59,0.06,24.48,7.3,18/02/2024,19:05:52,43.358013,11.313505,341.6
297552,22.19,33.91,98922.9,0.11,0.59,0.07,24.15,8.3,18/02/2024,19:05:57,43.358013,11.313505,341.6
297553,22.04,34.12,99023.37,0.08,0.57,0.07,23.82,9.25,18/02/2024,19:06:02,43.33852,11.324585,356.3
297554,21.89,34.28,99124.45,0.07,0.56,0.08,23.5,10.22,18/02/2024,19:06:07,43.33852,11.324585,356.3
297555,21.75,34.41,99224.95,0.06,0.54,0.08,23.18,10.22,18/02/2024,19:06:12,43.33852,11.324585,356.3
297556,21.78,34.48,99224.68,0.11,0.55,0.09,23.24,10.22,18/02/2024,19:06:17,43.33852,11.324585,356.3
297557,21.8,34.55,99224.58,0.15,0.55,0.1,23.29,10.16,18/02/2024,19:06:22,43.33852,11.324585,356.3
297558,21.82,34.61,99223.93,0.19,0.56,0.1,23.35,10.09,18/02/2024,19:06:27,43.33852,11.324585,356.3
297559,21.84,34.65,99223.26,0.23,0.57,0.11,23.4,10.03,18/02/2024,19:06:32,43.33852,11.324585,356.3
297560,21.85,34.56,99223.85,0.26,0.57,0.11,23.45,10.01,18/02/2024,19:06:37,43.33852,11.324585,356.3
297561,21.86,34.14,99223.36,0.28,0.57,0.11,23.5,10.01,18/02/2024,19:06:42,43.33852,11.324585,356.3
