,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
113943,23.6,32.2,98918.94,0.88,0.72,0.08,27.2,8.31,25/01/2024,00:00:00,43.313942,11.338155,290.1
113944,23.6,32.2,98918.3,0.87,0.72,0.08,27.2,8.27,25/01/2024,00:00:05,43.313942,11.338155,290.1
113945,23.6,32.2,98918.2,0.86,0.71,0.08,27.2,8.25,25/01/2024,00:00:10,43.313942,11.338155,290.1
113946,23.6,32.2,98917.73,0.86,0.72,0.08,27.2,8.24,25/01/2024,00:00:15,43.313942,11.338155,290.1
113947,23.6,32.2,98917.52,0.87,0.73,0.08,27.2,8.26,25/01/2024,00:00:20,43.313942,11.338155,290.1
113948,23.6,32.2,98917.11,0.88,0.74,0.08,27.2,8.26,25/01/2024,00:00:25,43.313942,11.338155,290.1
113949,23.6,32.2,98916.92,0.88,0.75,0.08,27.2,8.31,25/01/2024,00:00:30,43.313942,11.338155,290.1
113950,23.6,32.2,98916.35,0.89,0.74,0.08,27.2,8.36,25/01/2024,00:00:35,43.313942,11.338155,290.1
113951,23.6,32.2,98915.81,0.9,0.74,0.07,27.2,8.4,25/01/2024,00:00:40,43.313942,11.338155,290.1
113952,23.6,32.2,98915.47,0.9,0.74,0.07,27.2,8.42,25/01/2024,00:00:45,43.313942,11.338155,290.1
113953,23.6,32.2,98914.73,0.9,0.73,0.07,27.2,8.4,25/01/2024,00:00:50,43.313942,11.338155,290.1
113954,23.6,32.2,98914.52,0.91,0.74,0.07,27.2,8.39,25/01/2024,00:00:55,43.313942,11.338155,290.1
113955,23.6,32.2,98913.57,0.94,0.74,0.07,27.2,8.35,25/01/2024,00:01:00,43.313942,11.338155,290.1
113956,23.6,32.2,98913.07,0.93,0.73,0.07,27.2,8.36,25/01/2024,00:01:05,43.313942,11.338155,290.1
113957,23.6,32.2,98912.71,0.92,0.72,0.07,27.2,8.35,25/01/2024,00:01:10,43.313942,11.338155,290.1
113958,23.6,32.2,98912.18,0.91,0.72,0.07,27.2,8.29,25/01/2024,00:01:15,43.313942,11.338155,290.1
113959,23.6,32.2,98911.83,0.9,0.73,0.08,27.2,8.18,25/01/2024,00:01:20,43.313942,11.338155,290.1
113960,23.6,32.2,98911.72,0.89,0.73,0.08,27.2,8.11,25/01/2024,00:01:25,43.313942,11.338155,290.1
113961,23.6,32.2,98911.55,0.86,0.74,0.08,27.2,8.06,25/01/2024,00:01:30,43.313942,11.338155,290.1
113962,23.6,32.2,98911.52,0.86,0.74,0.08,27.2,8.01,25/01/2024,00:01:35,43.313942,11.338155,290.1
113963,23.6,32.2,98911.22,0.85,0.74,0.08,27.2,8.02,25/01/2024,00:01:40,43.313942,11.338155,290.1
113964,23.6,32.2,98910.89,0.84,0.73,0.08,27.2,8.07,25/01/2024,00:01:45,43.313942,11.338155,290.1
113965,23.6,32.2,98910.49,0.81,0.73,0.08,27.2,8.14,25/01/2024,00:01:50,43.313942,11.338155,290.1
113966,23.6,32.2,98910.43,0.8,0.73,0.08,27.2,8.16,25/01/2024,00:01:55,43.313942,11.338155,290.1
113967,23.6,32.2,98910.14,0.8,0.74,0.08,27.2,8.17,25/01/2024,00:02:00,43.313942,11.338155,290.1
113968,23.6,32.2,98909.53,0.79,0.73,0.08,27.2,8.22,25/01/2024,00:02:05,43.313942,11.338155,290.1
113969,23.6,32.2,98908.81,0.79,0.73,0.08,27.2,8.27,25/01/2024,00:02:10,43.313942,11.338155,290.1
113970,23.6,32.2,98908.59,0.78,0.73,0.08,27.2,8.26,25/01/2024,00:02:15,43.313942,11.338155,290.1
113971,23.6,32.2,98908.69,0.79,0.73,0.08,27.2,8.24,25/01/2024,00:02:20,43.313942,11.338155,290.1
113972,23.6,32.2,98908.59,0.79,0.73,0.08,27.2,8.23,25/01/2024,00:02:25,43.313942,11.338155,290.1
113973,23.6,32.2,98908.65,0.78,0.74,0.08,27.2,8.25,25/01/2024,00:02:30,43.313942,11.338155,290.1
113974,23.6,32.2,98908.34,0.79,0.74,0.08,27.2,8.3,25/01/2024,00:02:35,43.313942,11.338155,290.1
113975,23.6,32.2,98908.78,0.8,0.75,0.08,27.2,8.36,25/01/2024,00:02:40,43.313942,11.338155,290.1
113976,23.6,32.2,98908.57,0.82,0.76,0.08,27.2,8.41,25/01/2024,00:02:45,43.313942,11.338155,290.1
113977,23.6,32.2,98908.71,0.83,0.76,0.08,27.2,8.46,25/01/2024,00:02:50,43.313942,11.338155,290.1
113978,23.6,32.2,98908.81,0.84,0.76,0.08,27.2,8.5,25/01/2024,00:02:55,43.313942,11.338155,290.1
