,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
212436,25.0,35.0,97154.61,0.36,0.79,0.06,28.3,1.14,09/02/2024,00:00:03,43.358002,11.313535,338.6
212437,25.0,35.0,97154.52,0.37,0.79,0.06,28.3,1.12,09/02/2024,00:00:08,43.358002,11.313535,338.6
212438,25.0,35.0,97154.39,0.38,0.78,0.06,28.3,1.11,09/02/2024,00:00:13,43.358002,11.313535,338.6
212439,25.0,35.0,97154.19,0.4,0.78,0.06,28.3,1.11,09/02/2024,00:00:18,43.358002,11.313535,338.6
212440,25.0,35.0,97154.56,0.41,0.78,0.06,28.3,1.13,09/02/2024,00:00:23,43.358002,11.313535,338.6
212441,25.0,35.0,97154.44,0.41,0.77,0.06,28.3,1.15,09/02/2024,00:00:28,43.358002,11.313535,338.6
212442,25.0,35.0,97154.58,0.42,0.78,0.06,28.3,1.16,09/02/2024,00:00:33,43.358002,11.313535,338.6
212443,25.0,35.0,97154.38,0.43,0.78,0.06,28.3,1.18,09/02/2024,00:00:38,43.358002,11.313535,338.6
212444,25.0,35.0,97153.73,0.43,0.79,0.06,28.3,1.19,09/02/2024,00:00:43,43.358002,11.313535,338.6
212445,25.0,35.0,97154.16,0.45,0.78,0.06,28.3,1.22,09/02/2024,00:00:48,43.358002,11.313535,338.6
212446,25.0,35.0,97154.77,0.45,0.78,0.06,28.3,1.24,09/02/2024,00:00:53,43.358002,11.313535,338.6
212447,25.0,35.0,97155.3,0.45,0.78,0.06,28.3,1.24,09/02/2024,00:00:58,43.358002,11.313535,338.6
212448,25.0,35.0,97155.59,0.43,0.78,0.06,28.3,1.24,09/02/2024,00:01:03,43.358002,11.313535,338.6
212449,25.0,35.0,97155.89,0.41,0.78,0.06,28.3,1.24,09/02/2024,00:01:08,43.358002,11.313535,338.6
212450,25.0,35.0,97156.06,0.41,0.78,0.06,28.3,1.23,09/02/2024,00:01:13,43.358002,11.313535,338.6
212451,25.0,35.0,97156.09,0.4,0.79,0.06,28.3,1.22,09/02/2024,00:01:18,43.358002,11.313535,338.6
212452,25.0,35.0,97156.22,0.4,0.79,0.06,28.3,1.21,09/02/2024,00:01:23,43.358002,11.313535,338.6
212453,25.0,35.0,97156.45,0.39,0.79,0.06,28.3,1.19,09/02/2024,00:01:28,43.358002,11.313535,338.6
212454,25.0,35.0,97156.49,0.38,0.8,0.06,28.3,1.17,09/02/2024,00:01:33,43.358002,11.313535,338.6
212455,25.0,35.0,97155.98,0.36,0.81,0.06,28.3,1.16,09/02/2024,00:01:38,43.358002,11.313535,338.6
212456,25.0,35.0,97155.84,0.36,0.81,0.06,28.3,1.15,09/02/2024,00:01:43,43.358002,11.313535,338.6
212457,25.0,35.0,97155.54,0.36,0.81,0.06,28.3,1.14,09/02/2024,00:01:48,43.358002,11.313535,338.6
