,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
184307,26.61,23.03,99739.77,0.44,0.88,0.08,29.54,19.76,01/02/2024,13:04:01,43.313782,11.339172,306.6
184308,26.32,24.05,99677.41,0.4,0.84,0.08,29.09,18.48,01/02/2024,13:04:06,43.313782,11.339172,306.6
184309,26.04,25.07,99615.25,0.35,0.81,0.08,28.64,17.2,01/02/2024,13:04:11,43.313782,11.339172,306.6
184310,25.76,26.08,99554.49,0.31,0.78,0.08,28.2,15.98,01/02/2024,13:04:16,43.313782,11.339172,306.6
184311,25.48,27.09,99492.04,0.28,0.74,0.08,27.76,14.79,01/02/2024,13:04:21,43.313782,11.339172,306.6
184312,25.2,28.08,99430.04,0.24,0.71,0.08,27.33,13.59,01/02/2024,13:04:26,43.313782,11.339172,306.6
184313,24.92,29.06,99368.19,0.19,0.68,0.08,26.9,12.4,01/02/2024,13:04:31,43.313782,11.339172,306.6
184314,24.64,30.04,99306.14,0.15,0.64,0.08,26.48,11.15,01/02/2024,13:04:36,43.313782,11.339172,306.6
184315,24.36,31.01,99244.3,0.12,0.62,0.08,26.07,9.87,01/02/2024,13:04:41,43.313782,11.339172,306.6
184316,24.09,31.97,99182.4,0.1,0.59,0.08,25.66,8.61,01/02/2024,13:04:46,43.313782,11.339172,306.6
184317,24.11,31.87,99182.26,0.16,0.6,0.08,25.72,8.5,01/02/2024,13:04:51,43.313782,11.339172,306.6
184318,24.13,31.8,99182.74,0.18,0.62,0.08,25.77,8.41,01/02/2024,13:04:56,43.313782,11.339172,306.6
184319,24.16,31.7,99183.16,0.18,0.61,0.08,25.88,8.33,01/02/2024,13:06:20,43.313782,11.339172,306.6
184320,24.19,31.59,99182.62,0.18,0.61,0.08,25.99,8.26,01/02/2024,13:06:25,43.313782,11.339172,306.6
184321,24.22,31.49,99182.69,0.18,0.61,0.08,26.1,8.19,01/02/2024,13:06:30,43.313782,11.339172,306.6
184322,24.26,31.4,99183.26,0.18,0.62,0.08,26.2,8.14,01/02/2024,13:06:35,43.313782,11.339172,306.6
184323,24.3,31.31,99183.51,0.19,0.61,0.08,26.31,8.13,01/02/2024,13:06:40,43.313782,11.339172,306.6
