,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
197502,19.18,45.29,98974.18,1.4,0.52,0.08,22.16,20.28,05/02/2024,11:05:02,43.317255,11.336123,326.5
197503,19.13,45.81,98995.02,1.48,0.5,0.08,21.93,19.12,05/02/2024,11:05:07,43.317255,11.336123,326.5
197504,19.08,46.27,99018.49,1.57,0.48,0.08,21.7,17.99,05/02/2024,11:05:12,43.317255,11.336123,326.5
197505,19.03,46.66,99041.71,1.66,0.46,0.08,21.48,16.94,05/02/2024,11:05:17,43.317255,11.336123,326.5
197506,18.99,46.99,99065.2,1.73,0.43,0.08,21.27,15.99,05/02/2024,11:05:22,43.317255,11.336123,326.5
197507,18.95,47.19,99088.56,1.78,0.41,0.08,21.06,15.2,05/02/2024,11:05:27,43.317255,11.336123,326.5
197508,18.91,47.29,99111.78,1.86,0.39,0.08,20.86,14.63,05/02/2024,11:05:32,43.317255,11.336123,326.5
197509,18.86,47.29,99134.36,1.93,0.36,0.07,20.66,14.35,05/02/2024,11:05:37,43.317337,11.336303,326.5
197510,18.81,47.22,99156.31,2.0,0.33,0.07,20.47,14.15,05/02/2024,11:05:42,43.317337,11.336303,326.5
197511,18.76,47.12,99178.29,2.06,0.3,0.07,20.28,13.93,05/02/2024,11:05:47,43.317337,11.336303,326.5
197512,18.77,46.55,99179.54,2.0,0.3,0.07,20.34,14.04,05/02/2024,11:05:52,43.317337,11.336303,326.5
197513,18.78,46.01,99180.14,1.96,0.31,0.07,20.39,14.21,05/02/2024,11:05:57,43.317337,11.336303,326.5
197514,18.79,45.52,99177.23,1.92,0.32,0.06,20.45,14.41,05/02/2024,11:06:02,43.317337,11.336303,326.5
197515,18.8,45.07,99174.45,1.88,0.33,0.06,20.5,14.61,05/02/2024,11:06:07,43.317412,11.336315,313.5
197516,18.8,44.67,99171.0,1.87,0.34,0.06,20.55,14.78,05/02/2024,11:06:12,43.317412,11.336315,313.5
197517,18.8,44.36,99167.83,1.86,0.35,0.06,20.6,14.84,05/02/2024,11:06:17,43.317412,11.336315,313.5
197518,18.8,44.13,99164.38,1.82,0.36,0.06,20.65,14.81,05/02/2024,11:06:22,43.317398,11.336427,311.5
197519,18.8,43.96,99161.57,1.78,0.36,0.06,20.7,14.64,05/02/2024,11:06:27,43.317398,11.336427,311.5
197520,18.8,43.82,99158.95,1.74,0.37,0.06,20.74,14.44,05/02/2024,11:06:32,43.317398,11.336427,311.5
197521,18.8,43.71,99156.74,1.72,0.38,0.06,20.79,14.2,05/02/2024,11:06:37,43.31733,11.336485,312.1
197522,18.8,43.61,99154.9,1.7,0.39,0.06,20.83,13.95,05/02/2024,11:06:42,43.317268,11.336558,312.3
197523,18.8,43.52,99152.93,1.68,0.4,0.06,20.88,13.75,05/02/2024,11:06:47,43.317205,11.336627,312.4
197524,18.8,43.42,99151.69,1.67,0.4,0.06,20.92,13.55,05/02/2024,11:06:52,43.317193,11.336787,313.1
197525,18.8,43.35,99150.89,1.67,0.4,0.06,20.96,13.44,05/02/2024,11:06:57,43.317193,11.336787,313.1
197526,18.8,43.29,99151.18,1.65,0.4,0.06,21.0,13.4,05/02/2024,11:07:02,43.317165,11.33688,313.9
197527,18.8,43.26,99151.66,1.63,0.4,0.06,21.04,13.34,05/02/2024,11:07:07,43.317165,11.33688,313.9
197528,18.81,43.24,99152.88,1.63,0.4,0.06,21.07,13.3,05/02/2024,11:07:12,43.317165,11.33688,313.9
197529,18.82,43.24,99154.27,1.65,0.41,0.06,21.11,13.28,05/02/2024,11:07:17,43.317148,11.337,314.6
197530,18.83,43.23,99156.06,1.65,0.42,0.06,21.15,13.23,05/02/2024,11:07:22,43.317148,11.337,314.6
197531,18.84,43.23,99157.41,1.63,0.43,0.06,21.19,13.19,05/02/2024,11:07:27,43.317098,11.337073,314.8
197532,18.85,43.23,99159.11,1.63,0.44,0.06,21.23,13.14,05/02/2024,11:07:32,43.317035,11.337132,314.8
197533,18.86,43.24,99161.31,1.63,0.44,0.06,21.26,13.19,05/02/2024,11:07:37,43.316968,11.337178,314.7
197534,18.87,43.27,99164.06,1.62,0.44,0.06,21.3,13.31,05/02/2024,11:07:42,43.316968,11.337178,314.7
197535,18.88,43.29,99165.64,1.6,0.44,0.06,21.34,13.39,05/02/2024,11:07:47,43.316988,11.337287,314.4
197536,18.89,43.31,99168.07,1.58,0.44,0.06,21.37,13.41,05/02/2024,11:07:52,43.316962,11.337385,314.2
197537,18.9,43.32,99169.75,1.57,0.45,0.06,21.4,13.45,05/02/2024,11:07:57,43.316962,11.337385,314.2
197538,18.9,43.32,99171.41,1.54,0.46,0.06,21.44,13.49,05/02/2024,11:08:02,43.316963,11.337485,314.0
197539,18.9,43.32,99173.3,1.5,0.46,0.06,21.47,13.54,05/02/2024,11:08:07,43.316963,11.337485,314.0
197540,18.9,43.33,99174.6,1.5,0.45,0.06,21.5,13.58,05/02/2024,11:08:12,43.316963,11.337485,314.0
197541,18.9,43.35,99176.2,1.51,0.45,0.06,21.52,13.64,05/02/2024,11:08:17,43.316932,11.33759,313.2
197542,18.9,43.38,99178.58,1.49,0.45,0.06,21.55,13.69,05/02/2024,11:08:22,43.3169,11.337682,312.8
197543,18.9,43.42,99180.85,1.46,0.45,0.06,21.58,13.66,05/02/2024,11:08:27,43.3169,11.337682,312.8
197544,18.9,43.45,99182.75,1.45,0.46,0.06,21.6,13.6,05/02/2024,11:08:32,43.316888,11.337795,312.9
197545,18.9,43.47,99184.79,1.44,0.47,0.06,21.62,13.55,05/02/2024,11:08:37,43.316885,11.337902,312.7
197546,18.9,43.49,99185.84,1.44,0.48,0.06,21.65,13.52,05/02/2024,11:08:42,43.316885,11.337902,312.7
197547,18.9,43.52,99187.12,1.42,0.47,0.06,21.68,13.48,05/02/2024,11:08:47,43.316867,11.338003,312.3
197548,18.9,43.54,99188.81,1.43,0.47,0.06,21.7,13.42,05/02/2024,11:08:52,43.316838,11.338102,312.3
197549,18.9,43.55,99189.68,1.45,0.47,0.06,21.72,13.34,05/02/2024,11:08:57,43.316838,11.338102,312.3
197550,18.9,43.55,99191.13,1.44,0.48,0.06,21.74,13.32,05/02/2024,11:09:02,43.316808,11.338202,312.1
197551,18.9,43.54,99194.03,1.42,0.48,0.06,21.77,13.3,05/02/2024,11:09:07,43.316775,11.338298,311.7
197552,18.9,43.53,99194.72,1.42,0.48,0.06,21.79,13.29,05/02/2024,11:09:12,43.316733,11.338385,311.5
197553,18.9,43.52,99195.91,1.43,0.48,0.06,21.81,13.25,05/02/2024,11:09:17,43.316733,11.338385,311.5
197554,18.9,43.52,99197.2,1.42,0.48,0.06,21.83,13.18,05/02/2024,11:09:22,43.316705,11.338487,311.3
