,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
153483,21.99,37.92,99342.81,0.66,0.63,0.07,25.27,13.24,28/01/2024,09:25:36,43.357985,11.313273,331.2
153484,21.38,38.53,99377.28,0.78,0.58,0.07,24.45,11.97,28/01/2024,09:25:41,43.357985,11.313273,331.2
153485,20.78,39.14,99411.29,0.88,0.53,0.07,23.64,10.71,28/01/2024,09:25:46,43.357985,11.313273,331.2
153486,20.18,39.75,99445.57,0.97,0.49,0.07,22.83,9.43,28/01/2024,09:25:51,43.357985,11.313273,331.2
153487,19.58,40.35,99479.97,1.07,0.45,0.07,22.03,8.17,28/01/2024,09:25:56,43.357985,11.313273,331.2
153488,18.98,40.95,99514.26,1.16,0.4,0.07,21.24,6.91,28/01/2024,09:26:01,43.357985,11.313273,331.2
153489,18.38,41.54,99548.33,1.26,0.36,0.07,20.45,5.66,28/01/2024,09:26:06,43.357985,11.313273,331.2
153490,17.78,42.13,99583.12,1.35,0.32,0.07,19.67,4.42,28/01/2024,09:26:11,43.357985,11.313273,331.2
153491,17.19,42.71,99617.78,1.42,0.29,0.07,18.89,3.2,28/01/2024,09:26:16,43.357985,11.313273,331.2
153492,16.6,43.29,99651.8,1.5,0.25,0.07,18.12,1.98,28/01/2024,09:26:21,43.357985,11.313273,331.2
153493,16.62,43.24,99652.33,1.46,0.28,0.07,18.18,1.93,28/01/2024,09:26:26,43.357985,11.313273,331.2
153494,16.64,43.2,99652.27,1.41,0.29,0.07,18.24,1.89,28/01/2024,09:26:31,43.357985,11.313273,331.2
153495,16.66,43.11,99652.64,1.37,0.3,0.07,18.3,1.87,28/01/2024,09:26:36,43.357985,11.313273,331.2
153496,16.68,43.02,99652.7,1.36,0.3,0.07,18.36,1.9,28/01/2024,09:26:41,43.357985,11.313273,331.2
153497,16.7,42.94,99651.94,1.36,0.3,0.07,18.42,1.95,28/01/2024,09:26:46,43.357985,11.313273,331.2
153498,16.72,42.9,99650.89,1.34,0.31,0.07,18.47,2.01,28/01/2024,09:26:51,43.357985,11.313273,331.2
153499,16.74,42.98,99650.66,1.3,0.31,0.07,18.53,2.07,28/01/2024,09:26:56,43.357985,11.313273,331.2
153500,16.77,43.12,99650.01,1.29,0.33,0.07,18.59,2.97,28/01/2024,09:27:01,43.357985,11.313273,331.2
153501,16.79,43.3,99649.56,1.29,0.33,0.08,18.65,3.89,28/01/2024,09:27:06,43.357985,11.313273,331.2
153502,16.81,43.48,99649.66,1.28,0.34,0.08,18.7,4.77,28/01/2024,09:27:11,43.357985,11.313273,331.2
153503,16.83,43.67,99649.35,1.25,0.34,0.08,18.76,5.56,28/01/2024,09:27:16,43.357985,11.313273,331.2
153504,16.86,43.86,99649.2,1.25,0.36,0.08,18.82,6.3,28/01/2024,09:27:21,43.357985,11.313273,331.2
153505,16.88,44.06,99649.44,1.25,0.37,0.09,18.87,6.91,28/01/2024,09:27:26,43.357985,11.313273,331.2
153506,16.9,44.22,99649.43,1.25,0.37,0.09,18.92,7.37,28/01/2024,09:27:31,43.357985,11.313273,331.2
153507,16.92,44.32,99650.09,1.23,0.37,0.09,18.97,7.75,28/01/2024,09:27:36,43.357985,11.313273,331.2
153508,16.94,44.34,99650.84,1.22,0.38,0.1,19.03,8.05,28/01/2024,09:27:41,43.357985,11.313273,331.2
153509,16.96,44.25,99651.08,1.23,0.39,0.1,19.08,8.29,28/01/2024,09:27:46,43.357985,11.313273,331.2
153510,16.98,44.09,99651.49,1.23,0.39,0.1,19.13,7.66,28/01/2024,09:27:51,43.357985,11.313273,331.2
153511,17.0,43.9,99651.07,1.21,0.39,0.1,19.18,6.95,28/01/2024,09:27:56,43.357985,11.313273,331.2
153512,17.02,43.7,99649.07,1.19,0.39,0.1,19.24,6.26,28/01/2024,09:28:01,43.357985,11.313273,331.2
153513,17.04,43.5,99645.12,1.2,0.39,0.09,19.29,5.67,28/01/2024,09:28:06,43.357985,11.313273,331.2
153514,17.06,43.31,99641.4,1.21,0.38,0.09,19.33,5.14,28/01/2024,09:28:11,43.357985,11.313273,331.2
153515,17.08,43.17,99637.02,1.22,0.38,0.09,19.38,4.78,28/01/2024,09:28:16,43.357985,11.313273,331.2
153516,17.1,43.08,99633.15,1.22,0.4,0.09,19.43,4.57,28/01/2024,09:28:21,43.357985,11.313273,331.2
153517,17.12,43.06,99629.32,1.24,0.42,0.09,19.48,4.49,28/01/2024,09:28:26,43.357985,11.313273,331.2
153518,17.15,43.08,99625.96,1.28,0.42,0.09,19.52,4.54,28/01/2024,09:28:31,43.357985,11.313273,331.2
153519,17.18,43.1,99621.98,1.31,0.43,0.09,19.57,4.67,28/01/2024,09:28:36,43.357985,11.313273,331.2
153520,17.2,43.14,99617.56,1.34,0.43,0.09,19.61,4.81,28/01/2024,09:28:41,43.357985,11.313273,331.2
153521,17.22,43.18,99614.11,1.39,0.43,0.09,19.65,5.01,28/01/2024,09:28:46,43.357985,11.313273,331.2
153522,17.25,43.23,99611.9,1.46,0.44,0.09,19.69,5.25,28/01/2024,09:28:51,43.357985,11.313273,331.2
153523,17.28,43.27,99611.52,1.5,0.44,0.1,19.73,5.49,28/01/2024,09:28:56,43.357985,11.313273,331.2
153524,17.3,43.31,99611.26,1.53,0.45,0.1,19.78,5.7,28/01/2024,09:29:01,43.357985,11.313273,331.2
153525,17.32,43.34,99611.02,1.55,0.46,0.1,19.82,5.86,28/01/2024,09:29:06,43.357985,11.313273,331.2
153526,17.35,43.36,99610.85,1.58,0.46,0.1,19.86,5.96,28/01/2024,09:29:11,43.357985,11.313273,331.2
153527,17.38,43.37,99611.18,1.6,0.45,0.1,19.9,5.96,28/01/2024,09:29:16,43.357985,11.313273,331.2
153528,17.4,43.38,99611.19,1.61,0.45,0.1,19.94,5.88,28/01/2024,09:29:21,43.357985,11.313273,331.2
153529,17.42,43.39,99611.31,1.63,0.45,0.11,19.98,5.77,28/01/2024,09:29:26,43.357985,11.313273,331.2
153530,17.44,43.39,99611.23,1.66,0.46,0.11,20.02,5.63,28/01/2024,09:29:31,43.357985,11.313273,331.2
153531,17.47,43.39,99611.52,1.67,0.47,0.11,20.06,5.48,28/01/2024,09:29:36,43.357985,11.313273,331.2
153532,17.49,43.39,99611.83,1.66,0.47,0.11,20.1,5.31,28/01/2024,09:29:41,43.357985,11.313273,331.2
153533,17.51,43.4,99612.45,1.67,0.47,0.11,20.14,5.14,28/01/2024,09:29:46,43.357985,11.313273,331.2
153534,17.53,43.4,99613.34,1.69,0.46,0.11,20.17,4.99,28/01/2024,09:29:51,43.357985,11.313273,331.2
153535,17.55,43.4,99614.16,1.71,0.46,0.11,20.21,4.81,28/01/2024,09:29:56,43.357985,11.313273,331.2
153536,17.57,43.4,99614.72,1.72,0.46,0.11,20.25,4.65,28/01/2024,09:30:01,43.357985,11.313273,331.2
153537,17.59,43.4,99614.55,1.73,0.47,0.11,20.28,4.54,28/01/2024,09:30:06,43.357985,11.313273,331.2
153538,17.61,43.39,99614.86,1.74,0.48,0.11,20.32,4.43,28/01/2024,09:30:11,43.357985,11.313273,331.2
153539,17.63,43.38,99615.06,1.74,0.48,0.11,20.35,4.29,28/01/2024,09:30:16,43.357985,11.313273,331.2
153540,17.66,43.37,99615.64,1.71,0.49,0.11,20.38,4.18,28/01/2024,09:30:21,43.357985,11.313273,331.2
153541,17.68,43.36,99615.87,1.71,0.49,0.11,20.42,4.06,28/01/2024,09:30:26,43.357985,11.313273,331.2
153542,17.7,43.35,99615.94,1.72,0.49,0.11,20.45,3.93,28/01/2024,09:30:31,43.357985,11.313273,331.2
153543,17.72,43.34,99616.39,1.72,0.5,0.11,20.48,3.81,28/01/2024,09:30:36,43.357985,11.313273,331.2
153544,17.75,43.33,99616.29,1.71,0.51,0.11,20.52,3.69,28/01/2024,09:30:41,43.357985,11.313273,331.2
153545,17.78,43.32,99616.67,1.72,0.51,0.11,20.55,3.6,28/01/2024,09:30:46,43.357985,11.313273,331.2
153546,17.8,43.31,99616.91,1.73,0.51,0.11,20.58,3.51,28/01/2024,09:30:51,43.357985,11.313273,331.2
153547,17.82,43.3,99617.18,1.75,0.51,0.11,20.62,3.4,28/01/2024,09:30:56,43.357985,11.313273,331.2
