,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
190812,20.32,40.56,98923.07,1.9,0.57,0.08,23.79,30.46,04/02/2024,11:14:14,43.317255,11.336123,326.5
190813,20.17,41.79,98938.38,1.95,0.55,0.08,23.39,35.48,04/02/2024,11:14:19,43.31415,11.338967,301.1
190814,20.02,42.98,98954.11,1.98,0.52,0.09,23.0,39.15,04/02/2024,11:14:24,43.314077,11.338913,301.8
190815,19.87,44.12,98969.91,1.97,0.5,0.09,22.61,42.5,04/02/2024,11:14:29,43.314077,11.338913,301.8
190816,19.73,45.21,98985.73,1.98,0.49,0.09,22.23,45.52,04/02/2024,11:14:34,43.314003,11.338865,302.6
190817,19.59,46.27,99003.74,2.01,0.47,0.1,21.86,48.13,04/02/2024,11:14:39,43.314003,11.338865,302.6
190818,19.45,47.27,99024.47,2.04,0.45,0.1,21.49,50.42,04/02/2024,11:14:44,43.314003,11.338865,302.6
190819,19.32,48.2,99048.39,2.04,0.44,0.1,21.13,52.38,04/02/2024,11:14:49,43.314003,11.338865,302.6
190820,19.2,49.08,99075.35,2.03,0.43,0.1,20.77,53.98,04/02/2024,11:14:54,43.313932,11.338835,304.2
190821,19.08,49.93,99102.79,2.02,0.41,0.1,20.42,55.18,04/02/2024,11:14:59,43.313932,11.338835,304.2
190822,19.1,49.73,99115.01,1.94,0.41,0.1,20.48,48.96,04/02/2024,11:15:04,43.313932,11.338835,304.2
190823,19.12,49.55,99127.64,1.88,0.42,0.09,20.54,44.59,04/02/2024,11:15:09,43.313932,11.338835,304.2
190824,19.14,49.37,99140.91,1.83,0.43,0.09,20.6,41.65,04/02/2024,11:15:14,43.314068,11.339055,308.5
190825,19.17,49.18,99156.1,1.8,0.43,0.09,20.66,39.23,04/02/2024,11:15:19,43.314068,11.339055,308.5
190826,19.19,48.97,99171.48,1.78,0.44,0.09,20.72,37.8,04/02/2024,11:15:24,43.314033,11.33896,310.1
190827,19.21,48.74,99184.3,1.75,0.45,0.08,20.77,37.03,04/02/2024,11:15:29,43.314033,11.33896,310.1
190828,19.23,48.49,99193.94,1.7,0.46,0.08,20.83,37.19,04/02/2024,11:15:34,43.314002,11.338845,310.3
190829,19.25,48.21,99200.71,1.67,0.45,0.08,20.88,37.89,04/02/2024,11:15:39,43.314013,11.33898,310.3
190830,19.26,47.93,99203.99,1.66,0.44,0.08,20.94,38.95,04/02/2024,11:15:44,43.314013,11.33898,310.3
190831,19.28,47.65,99205.9,1.65,0.45,0.08,20.99,40.43,04/02/2024,11:15:49,43.314013,11.33898,310.3
190832,19.3,47.35,99207.41,1.63,0.46,0.08,21.05,42.59,04/02/2024,11:15:54,43.313938,11.339027,310.4
190833,19.32,47.03,99209.2,1.61,0.46,0.07,21.1,45.03,04/02/2024,11:15:59,43.313938,11.339027,310.4
190834,19.34,46.7,99209.91,1.59,0.47,0.07,21.15,47.17,04/02/2024,11:16:04,43.31385,11.338912,310.3
190835,19.35,46.31,99209.16,1.6,0.48,0.07,21.2,48.79,04/02/2024,11:16:09,43.313763,11.338788,310.3
190836,19.36,45.95,99208.39,1.59,0.47,0.07,21.25,49.84,04/02/2024,11:16:14,43.313763,11.338788,310.3
190837,19.38,45.63,99208.07,1.57,0.46,0.07,21.3,51.03,04/02/2024,11:16:19,43.313763,11.338788,310.3
190838,19.4,45.34,99208.48,1.57,0.45,0.07,21.34,51.66,04/02/2024,11:16:24,43.313763,11.338788,310.3
190839,19.42,45.07,99208.27,1.58,0.46,0.07,21.39,52.02,04/02/2024,11:16:29,43.313763,11.338788,310.3
190840,19.44,44.79,99208.99,1.56,0.47,0.06,21.43,52.31,04/02/2024,11:16:34,43.313763,11.338788,310.3
190841,19.45,44.51,99210.12,1.54,0.47,0.06,21.48,52.16,04/02/2024,11:16:39,43.313763,11.338788,310.3
190842,19.46,44.25,99211.48,1.53,0.47,0.06,21.52,51.56,04/02/2024,11:16:44,43.313763,11.338788,310.3
190843,19.47,44.03,99212.15,1.55,0.47,0.06,21.56,50.41,04/02/2024,11:16:49,43.313763,11.338788,310.3
190844,19.49,43.83,99212.79,1.55,0.47,0.06,21.6,49.05,04/02/2024,11:16:54,43.313763,11.338788,310.3
190845,19.51,43.71,99213.36,1.52,0.47,0.06,21.64,47.79,04/02/2024,11:16:59,43.313763,11.338788,310.3
190846,19.53,43.58,99213.13,1.51,0.48,0.06,21.68,46.09,04/02/2024,11:17:04,43.313763,11.338788,310.3
190847,19.54,43.43,99213.34,1.51,0.49,0.06,21.72,43.77,04/02/2024,11:17:09,43.313763,11.338788,310.3
190848,19.56,43.28,99212.89,1.5,0.5,0.06,21.76,41.27,04/02/2024,11:17:14,43.313763,11.338788,310.3
190849,19.58,43.16,99212.96,1.48,0.5,0.06,21.8,38.59,04/02/2024,11:17:19,43.313763,11.338788,310.3
190850,19.6,43.07,99212.6,1.49,0.5,0.06,21.84,35.77,04/02/2024,11:17:24,43.313763,11.338788,310.3
190851,19.62,43.0,99212.39,1.51,0.5,0.06,21.87,33.09,04/02/2024,11:17:29,43.31368,11.338793,310.2
190852,19.64,42.96,99211.8,1.51,0.5,0.06,21.91,30.38,04/02/2024,11:17:34,43.31368,11.338793,310.2
190853,19.67,42.92,99211.11,1.47,0.5,0.06,21.95,27.98,04/02/2024,11:17:39,43.31368,11.338793,310.2
190854,19.69,42.9,99211.26,1.47,0.5,0.06,21.98,25.96,04/02/2024,11:17:44,43.31368,11.338793,310.2
190855,19.71,42.89,99210.75,1.48,0.5,0.06,22.02,24.0,04/02/2024,11:17:49,43.31368,11.338793,310.2
190856,19.73,42.9,99211.21,1.47,0.51,0.06,22.05,22.33,04/02/2024,11:17:54,43.31368,11.338793,310.2
190857,19.75,42.93,99210.84,1.46,0.51,0.06,22.08,20.88,04/02/2024,11:17:59,43.31368,11.338793,310.2
190858,19.76,42.97,99210.64,1.46,0.51,0.06,22.12,19.41,04/02/2024,11:18:04,43.31368,11.338793,310.2
190859,19.78,43.01,99210.28,1.46,0.52,0.06,22.15,18.07,04/02/2024,11:18:09,43.31368,11.338793,310.2
190860,19.8,43.06,99209.63,1.44,0.52,0.06,22.18,16.87,04/02/2024,11:18:14,43.31368,11.338793,310.2
190861,19.82,43.11,99209.17,1.42,0.53,0.06,22.21,15.74,04/02/2024,11:18:19,43.31368,11.338793,310.2
190862,19.84,43.15,99208.82,1.42,0.53,0.06,22.24,14.78,04/02/2024,11:18:24,43.31368,11.338793,310.2
190863,19.85,43.19,99209.2,1.44,0.53,0.06,22.27,14.03,04/02/2024,11:18:29,43.31368,11.338793,310.2
190864,19.86,43.23,99208.65,1.43,0.53,0.06,22.3,13.36,04/02/2024,11:18:34,43.31368,11.338793,310.2
190865,19.88,43.27,99208.65,1.4,0.53,0.06,22.33,12.83,04/02/2024,11:18:39,43.31368,11.338793,310.2
190866,19.9,43.3,99208.24,1.39,0.52,0.06,22.36,12.39,04/02/2024,11:18:44,43.31368,11.338793,310.2
190867,19.92,43.32,99208.18,1.39,0.53,0.06,22.39,12.04,04/02/2024,11:18:49,43.31368,11.338793,310.2
190868,19.94,43.34,99207.77,1.38,0.53,0.06,22.41,11.81,04/02/2024,11:18:54,43.31368,11.338793,310.2
190869,19.95,43.36,99207.64,1.28,0.53,0.06,22.44,11.66,04/02/2024,11:18:59,43.31368,11.338793,310.2
190870,19.96,43.37,99208.68,1.19,0.54,0.06,22.47,11.48,04/02/2024,11:19:04,43.31368,11.338793,310.2
190871,19.97,43.37,99209.71,1.1,0.54,0.06,22.5,11.34,04/02/2024,11:19:09,43.31368,11.338793,310.2
190872,19.99,43.37,99210.99,1.0,0.54,0.06,22.52,11.24,04/02/2024,11:19:14,43.31368,11.338793,310.2
190873,20.01,43.37,99211.43,0.89,0.54,0.06,22.54,11.18,04/02/2024,11:19:19,43.31368,11.338793,310.2
190874,20.03,43.36,99212.4,0.8,0.55,0.06,22.57,11.18,04/02/2024,11:19:24,43.31368,11.338793,310.2
190875,20.04,43.34,99213.05,0.72,0.56,0.06,22.59,11.28,04/02/2024,11:19:29,43.31368,11.338793,310.2
190876,20.05,43.31,99213.82,0.63,0.57,0.06,22.61,11.55,04/02/2024,11:19:34,43.31368,11.338793,310.2
190877,20.06,43.27,99215.03,0.52,0.56,0.06,22.63,11.97,04/02/2024,11:19:39,43.31368,11.338793,310.2
190878,20.07,43.22,99216.51,0.43,0.56,0.06,22.66,12.4,04/02/2024,11:19:44,43.31368,11.338793,310.2
190879,20.08,43.16,99216.97,0.43,0.55,0.06,22.68,12.83,04/02/2024,11:19:49,43.31368,11.338793,310.2
190880,20.1,43.09,99217.27,0.44,0.55,0.06,22.7,13.2,04/02/2024,11:19:54,43.31368,11.338793,310.2
190881,20.12,43.02,99217.12,0.44,0.54,0.06,22.72,13.56,04/02/2024,11:19:59,43.31368,11.338793,310.2
190882,20.13,42.94,99217.16,0.45,0.54,0.06,22.74,13.8,04/02/2024,11:20:04,43.31368,11.338793,310.2
190883,20.14,42.85,99217.63,0.46,0.54,0.06,22.77,13.94,04/02/2024,11:20:09,43.31368,11.338793,310.2
190884,20.15,42.75,99217.65,0.46,0.54,0.06,22.79,14.01,04/02/2024,11:20:14,43.31368,11.338793,310.2
190885,20.16,42.65,99218.1,0.47,0.54,0.06,22.81,13.94,04/02/2024,11:20:19,43.31368,11.338793,310.2
190886,20.17,42.55,99218.29,0.49,0.53,0.06,22.83,13.58,04/02/2024,11:20:24,43.31368,11.338793,310.2
190887,20.19,42.45,99217.92,0.52,0.54,0.06,22.85,13.01,04/02/2024,11:20:29,43.31368,11.338793,310.2
190888,20.21,42.36,99217.31,0.54,0.55,0.06,22.87,12.38,04/02/2024,11:20:34,43.31368,11.338793,310.2
190889,20.23,42.27,99217.65,0.54,0.55,0.06,22.89,11.71,04/02/2024,11:20:39,43.31368,11.338793,310.2
190890,20.24,42.18,99217.72,0.53,0.55,0.06,22.91,11.12,04/02/2024,11:20:44,43.31368,11.338793,310.2
190891,20.25,42.1,99218.16,0.54,0.55,0.06,22.93,10.51,04/02/2024,11:20:49,43.31368,11.338793,310.2
190892,20.26,42.02,99218.24,0.55,0.56,0.06,22.95,10.0,04/02/2024,11:20:54,43.31368,11.338793,310.2
190893,20.27,41.94,99218.64,0.54,0.56,0.06,22.96,9.55,04/02/2024,11:20:59,43.31368,11.338793,310.2
190894,20.28,41.86,99218.78,0.54,0.55,0.06,22.98,9.1,04/02/2024,11:21:04,43.31368,11.338793,310.2
190895,20.29,41.79,99218.78,0.53,0.54,0.06,23.0,8.69,04/02/2024,11:21:09,43.31368,11.338793,310.2
190896,20.3,41.72,99218.72,0.52,0.54,0.06,23.02,8.38,04/02/2024,11:21:14,43.31368,11.338793,310.2
190897,20.31,41.66,99218.79,0.5,0.54,0.06,23.04,8.06,04/02/2024,11:21:19,43.31368,11.338793,310.2
190898,20.32,41.59,99219.6,0.48,0.53,0.06,23.05,7.77,04/02/2024,11:21:24,43.31368,11.338793,310.2
190899,20.33,41.53,99220.24,0.48,0.53,0.06,23.06,7.51,04/02/2024,11:21:29,43.31368,11.338793,310.2
190900,20.34,41.48,99220.09,0.49,0.53,0.06,23.07,7.29,04/02/2024,11:21:34,43.31368,11.338793,310.2
190901,20.35,41.42,99219.94,0.48,0.53,0.06,23.09,7.14,04/02/2024,11:21:39,43.31368,11.338793,310.2
190902,20.36,41.37,99219.97,0.47,0.52,0.06,23.11,7.0,04/02/2024,11:21:44,43.31368,11.338793,310.2
190903,20.37,41.32,99219.8,0.49,0.52,0.06,23.13,6.82,04/02/2024,11:21:49,43.31368,11.338793,310.2
190904,20.38,41.28,99219.87,0.5,0.53,0.06,23.14,6.65,04/02/2024,11:21:54,43.31368,11.338793,310.2
190905,20.39,41.24,99219.73,0.5,0.54,0.06,23.15,6.49,04/02/2024,11:21:59,43.31368,11.338793,310.2
