,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
203588,23.27,36.66,98788.77,0.6,0.75,0.07,26.99,17.04,07/02/2024,09:25:50,43.317335,11.336303,317.4
203589,22.76,38.59,98706.45,0.8,0.7,0.07,26.22,16.29,07/02/2024,09:25:55,43.317335,11.336303,317.4
203590,22.26,40.51,98624.06,1.0,0.64,0.08,25.46,15.69,07/02/2024,09:26:00,43.317335,11.336303,317.4
203591,21.76,42.41,98541.58,1.19,0.6,0.08,24.7,15.11,07/02/2024,09:26:05,43.317335,11.336303,317.4
203592,21.26,44.29,98458.98,1.38,0.56,0.08,23.95,14.63,07/02/2024,09:26:10,43.317335,11.336303,317.4
203593,20.76,46.16,98376.91,1.59,0.52,0.09,23.21,14.27,07/02/2024,09:26:15,43.317335,11.336303,317.4
203594,20.26,48.01,98295.01,1.81,0.48,0.09,22.47,13.95,07/02/2024,09:26:20,43.317335,11.336303,317.4
203595,19.77,49.84,98212.3,2.02,0.45,0.09,21.75,13.61,07/02/2024,09:26:25,43.317335,11.336303,317.4
203596,19.29,51.63,98129.62,2.21,0.41,0.1,21.03,13.33,07/02/2024,09:26:30,43.317335,11.336303,317.4
203597,18.81,53.38,98046.89,2.38,0.37,0.1,20.32,13.1,07/02/2024,09:26:35,43.317335,11.336303,317.4
203598,18.83,53.34,98046.87,2.34,0.38,0.1,20.38,12.73,07/02/2024,09:26:40,43.317335,11.336303,317.4
203599,18.85,53.3,98046.44,2.31,0.4,0.1,20.44,12.44,07/02/2024,09:26:45,43.317335,11.336303,317.4
203600,18.87,53.26,98046.44,2.28,0.42,0.1,20.5,12.11,07/02/2024,09:26:50,43.317335,11.336303,317.4
203601,18.89,53.22,98046.2,2.26,0.43,0.1,20.56,11.74,07/02/2024,09:26:55,43.317335,11.336303,317.4
203602,18.91,53.18,98045.91,2.25,0.43,0.1,20.62,11.42,07/02/2024,09:27:00,43.317335,11.336303,317.4
203603,18.93,53.13,98045.86,2.24,0.43,0.1,20.67,11.12,07/02/2024,09:27:05,43.317335,11.336303,317.4
