,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
248465,24.0,34.9,97290.36,0.36,0.75,0.07,27.3,0.72,13/02/2024,00:00:00,43.358107,11.313618,338.7
248466,24.0,34.9,97290.43,0.36,0.74,0.07,27.3,0.69,13/02/2024,00:00:05,43.358107,11.313618,338.7
248467,24.0,34.9,97290.49,0.36,0.74,0.07,27.3,0.69,13/02/2024,00:00:10,43.358107,11.313618,338.7
248468,24.0,34.9,97290.62,0.35,0.74,0.07,27.3,0.69,13/02/2024,00:00:15,43.358107,11.313618,338.7
248469,24.0,34.9,97290.99,0.33,0.74,0.07,27.3,0.71,13/02/2024,00:00:20,43.358107,11.313618,338.7
248470,24.0,34.9,97291.59,0.33,0.73,0.07,27.3,0.74,13/02/2024,00:00:25,43.358107,11.313618,338.7
248471,24.0,34.9,97291.72,0.35,0.72,0.07,27.3,0.77,13/02/2024,00:00:30,43.358107,11.313618,338.7
248472,24.0,34.9,97291.68,0.35,0.72,0.07,27.3,0.8,13/02/2024,00:00:35,43.358107,11.313618,338.7
248473,24.0,34.9,97291.95,0.33,0.73,0.07,27.3,0.84,13/02/2024,00:00:40,43.358107,11.313618,338.7
248474,24.0,34.9,97291.75,0.33,0.72,0.07,27.3,0.87,13/02/2024,00:00:45,43.358107,11.313618,338.7
248475,24.0,34.9,97291.34,0.33,0.72,0.07,27.3,0.9,13/02/2024,00:00:50,43.358107,11.313618,338.7
248476,24.0,34.9,97291.37,0.33,0.72,0.07,27.3,0.92,13/02/2024,00:00:55,43.358107,11.313618,338.7
248477,24.0,34.9,97291.5,0.33,0.73,0.07,27.3,0.95,13/02/2024,00:01:00,43.358107,11.313618,338.7
248478,24.0,34.9,97291.37,0.34,0.74,0.07,27.3,0.99,13/02/2024,00:01:05,43.358107,11.313618,338.7
248479,24.0,34.9,97291.37,0.36,0.73,0.07,27.3,1.01,13/02/2024,00:01:10,43.358107,11.313618,338.7
248480,24.0,34.9,97291.49,0.35,0.73,0.07,27.3,1.01,13/02/2024,00:01:15,43.358107,11.313618,338.7
248481,24.0,34.9,97291.83,0.31,0.73,0.07,27.3,1.01,13/02/2024,00:01:20,43.358107,11.313618,338.7
248482,24.0,34.9,97292.98,0.3,0.73,0.07,27.3,1.01,13/02/2024,00:01:25,43.358107,11.313618,338.7
248483,24.0,34.9,97293.18,0.32,0.73,0.07,27.3,1.02,13/02/2024,00:01:30,43.358107,11.313618,338.7
248484,24.0,34.9,97293.62,0.31,0.73,0.07,27.3,1.04,13/02/2024,00:01:35,43.358107,11.313618,338.7
248485,24.0,34.9,97294.23,0.31,0.74,0.07,27.3,1.07,13/02/2024,00:01:40,43.358107,11.313618,338.7
248486,24.0,34.9,97294.49,0.32,0.75,0.07,27.3,1.1,13/02/2024,00:01:45,43.358107,11.313618,338.7
248487,24.0,34.9,97295.03,0.34,0.75,0.07,27.3,1.11,13/02/2024,00:01:50,43.358107,11.313618,338.7
248488,24.0,34.9,97295.5,0.35,0.74,0.07,27.3,1.11,13/02/2024,00:01:55,43.358107,11.313618,338.7
248489,24.0,34.9,97295.7,0.34,0.75,0.07,27.3,1.12,13/02/2024,00:02:00,43.358107,11.313618,338.7
248490,24.0,34.9,97295.51,0.34,0.75,0.07,27.3,1.12,13/02/2024,00:02:05,43.358107,11.313618,338.7
248491,24.0,34.9,97295.78,0.36,0.75,0.07,27.3,1.12,13/02/2024,00:02:10,43.358107,11.313618,338.7
248492,24.0,34.9,97295.57,0.36,0.76,0.07,27.3,1.11,13/02/2024,00:02:15,43.358107,11.313618,338.7
248493,24.0,34.9,97295.15,0.36,0.76,0.07,27.3,1.1,13/02/2024,00:02:20,43.358107,11.313618,338.7
248494,24.0,34.9,97295.18,0.37,0.77,0.07,27.3,1.1,13/02/2024,00:02:25,43.358107,11.313618,338.7
248495,24.0,34.9,97295.2,0.37,0.76,0.07,27.3,1.1,13/02/2024,00:02:30,43.358107,11.313618,338.7
248496,24.0,34.9,97295.27,0.35,0.76,0.07,27.3,1.09,13/02/2024,00:02:35,43.358107,11.313618,338.7
248497,24.0,34.9,97295.09,0.34,0.76,0.07,27.3,1.08,13/02/2024,00:02:40,43.358107,11.313618,338.7
248498,24.0,34.9,97295.25,0.33,0.77,0.07,27.3,1.06,13/02/2024,00:02:45,43.358107,11.313618,338.7
248499,24.0,34.9,97295.96,0.33,0.76,0.07,27.3,1.04,13/02/2024,00:02:50,43.358107,11.313618,338.7
248500,24.0,34.9,97296.5,0.33,0.76,0.07,27.3,1.04,13/02/2024,00:02:55,43.358107,11.313618,338.7
248501,24.0,34.9,97296.76,0.32,0.77,0.07,27.3,1.04,13/02/2024,00:03:00,43.358107,11.313618,338.7
248502,24.0,34.9,97297.27,0.32,0.76,0.07,27.3,1.04,13/02/2024,00:03:05,43.358107,11.313618,338.7
248503,24.0,34.9,97297.64,0.32,0.76,0.07,27.3,1.03,13/02/2024,00:03:10,43.358107,11.313618,338.7
248504,24.0,34.9,97298.17,0.33,0.75,0.07,27.3,1.02,13/02/2024,00:03:15,43.358107,11.313618,338.7
248505,24.0,34.9,97298.72,0.34,0.76,0.07,27.3,1.0,13/02/2024,00:03:20,43.358107,11.313618,338.7
248506,24.0,34.9,97299.19,0.35,0.76,0.07,27.3,0.98,13/02/2024,00:03:25,43.358107,11.313618,338.7
248507,24.0,34.9,97299.57,0.35,0.75,0.07,27.3,0.96,13/02/2024,00:03:30,43.358107,11.313618,338.7
248508,24.0,34.9,97299.3,0.37,0.75,0.07,27.3,0.94,13/02/2024,00:03:35,43.358107,11.313618,338.7
248509,24.0,34.9,97298.92,0.38,0.76,0.07,27.3,0.92,13/02/2024,00:03:40,43.358107,11.313618,338.7
248510,24.0,34.9,97298.94,0.38,0.77,0.07,27.3,0.89,13/02/2024,00:03:45,43.358107,11.313618,338.7
248511,24.0,34.9,97298.19,0.37,0.76,0.07,27.3,0.86,13/02/2024,00:03:50,43.358107,11.313618,338.7
248512,24.0,34.9,97298.12,0.38,0.76,0.07,27.3,0.85,13/02/2024,00:03:55,43.358107,11.313618,338.7
248513,24.0,34.9,97298.2,0.38,0.75,0.07,27.3,0.86,13/02/2024,00:04:00,43.358107,11.313618,338.7
248514,24.0,34.9,97298.06,0.36,0.75,0.07,27.3,0.87,13/02/2024,00:04:05,43.358107,11.313618,338.7
248515,24.0,34.9,97298.02,0.36,0.74,0.07,27.3,0.88,13/02/2024,00:04:10,43.358107,11.313618,338.7
248516,24.0,34.9,97298.26,0.36,0.73,0.07,27.3,0.91,13/02/2024,00:04:15,43.358107,11.313618,338.7
248517,24.0,34.9,97298.29,0.35,0.74,0.07,27.3,0.94,13/02/2024,00:04:20,43.358107,11.313618,338.7
248518,24.0,34.9,97298.77,0.33,0.74,0.07,27.3,0.98,13/02/2024,00:04:25,43.358107,11.313618,338.7
248519,24.0,34.9,97298.23,0.33,0.73,0.07,27.3,1.02,13/02/2024,00:04:30,43.358107,11.313618,338.7
248520,24.0,34.9,97298.02,0.35,0.72,0.07,27.3,1.07,13/02/2024,00:04:35,43.358107,11.313618,338.7
248521,24.0,34.9,97298.23,0.36,0.73,0.07,27.3,1.11,13/02/2024,00:04:40,43.358107,11.313618,338.7
248522,24.0,34.9,97298.06,0.35,0.74,0.07,27.3,1.14,13/02/2024,00:04:45,43.358107,11.313618,338.7
248523,24.0,34.9,97298.26,0.35,0.74,0.07,27.3,1.15,13/02/2024,00:04:50,43.358107,11.313618,338.7
248524,24.0,34.9,97298.67,0.36,0.74,0.07,27.3,1.15,13/02/2024,00:04:55,43.358107,11.313618,338.7
248525,24.0,34.9,97298.49,0.36,0.74,0.07,27.3,1.14,13/02/2024,00:05:00,43.358107,11.313618,338.7
248526,24.0,34.9,97298.41,0.37,0.74,0.07,27.3,1.12,13/02/2024,00:05:05,43.358107,11.313618,338.7
248527,24.0,34.9,97298.5,0.36,0.74,0.07,27.3,1.11,13/02/2024,00:05:10,43.358107,11.313618,338.7
248528,24.0,34.9,97298.32,0.37,0.73,0.07,27.3,1.1,13/02/2024,00:05:15,43.358107,11.313618,338.7
248529,24.0,34.9,97298.78,0.37,0.74,0.07,27.3,1.09,13/02/2024,00:05:20,43.358107,11.313618,338.7
248530,24.0,34.9,97299.3,0.36,0.75,0.07,27.3,1.08,13/02/2024,00:05:25,43.358107,11.313618,338.7
248531,24.0,34.9,97299.05,0.37,0.74,0.07,27.3,1.07,13/02/2024,00:05:30,43.358107,11.313618,338.7
248532,24.0,34.9,97299.1,0.37,0.73,0.07,27.3,1.07,13/02/2024,00:05:35,43.358107,11.313618,338.7
248533,24.0,34.9,97299.23,0.37,0.74,0.07,27.3,1.08,13/02/2024,00:05:40,43.358107,11.313618,338.7
248534,24.0,34.9,97299.29,0.36,0.75,0.07,27.3,1.08,13/02/2024,00:05:45,43.358107,11.313618,338.7
248535,24.0,34.9,97299.26,0.36,0.75,0.07,27.3,1.09,13/02/2024,00:05:50,43.358107,11.313618,338.7
248536,24.0,34.9,97299.13,0.35,0.75,0.07,27.3,1.08,13/02/2024,00:05:55,43.358107,11.313618,338.7
248537,24.0,34.9,97299.0,0.35,0.75,0.07,27.3,1.07,13/02/2024,00:06:00,43.358107,11.313618,338.7
248538,24.0,34.9,97299.44,0.33,0.75,0.07,27.3,1.05,13/02/2024,00:06:05,43.358107,11.313618,338.7
248539,24.0,34.9,97299.41,0.33,0.74,0.07,27.3,1.03,13/02/2024,00:06:10,43.358107,11.313618,338.7
248540,24.0,34.9,97299.09,0.32,0.73,0.07,27.3,1.01,13/02/2024,00:06:15,43.358107,11.313618,338.7
248541,24.0,34.9,97299.67,0.31,0.73,0.07,27.3,0.99,13/02/2024,00:06:20,43.358107,11.313618,338.7
248542,24.0,34.9,97300.01,0.3,0.74,0.07,27.3,0.96,13/02/2024,00:06:25,43.358107,11.313618,338.7
248543,24.0,34.9,97300.04,0.29,0.74,0.07,27.3,0.92,13/02/2024,00:06:30,43.358107,11.313618,338.7
248544,24.0,34.9,97300.14,0.29,0.73,0.07,27.3,0.89,13/02/2024,00:06:35,43.358107,11.313618,338.7
248545,24.0,34.9,97300.38,0.27,0.73,0.07,27.3,0.86,13/02/2024,00:06:40,43.358107,11.313618,338.7
