,AMBT,AMBH,AMBP,CO,NO2,CO2,CO2_T,MASS_PM10,DATE,TIME,latitude,longitude,elevation
183307,26.27,19.95,99823.78,0.38,0.86,0.07,29.16,8.52,31/01/2024,09:46:36,43.313782,11.339172,306.6
183308,25.83,20.76,99824.1,0.32,0.83,0.07,28.56,12.65,31/01/2024,09:46:41,43.313782,11.339172,306.6
183309,25.39,21.57,99825.23,0.28,0.79,0.07,27.97,16.68,31/01/2024,09:46:46,43.313782,11.339172,306.6
183310,24.95,22.38,99825.65,0.25,0.76,0.07,27.37,20.61,31/01/2024,09:46:51,43.313782,11.339172,306.6
183311,24.52,23.18,99825.54,0.21,0.72,0.07,26.78,24.5,31/01/2024,09:46:56,43.313782,11.339172,306.6
183312,24.09,23.98,99825.79,0.16,0.69,0.07,26.2,28.43,31/01/2024,09:47:01,43.313782,11.339172,306.6
183313,23.66,24.77,99826.06,0.14,0.66,0.06,25.62,32.37,31/01/2024,09:47:06,43.313782,11.339172,306.6
183314,23.23,25.55,99826.15,0.11,0.64,0.06,25.05,36.24,31/01/2024,09:47:11,43.313782,11.339172,306.6
183315,22.79,26.33,99826.89,0.09,0.62,0.06,24.48,40.12,31/01/2024,09:47:16,43.313782,11.339172,306.6
183316,22.35,27.1,99827.39,0.08,0.59,0.06,23.92,44.0,31/01/2024,09:47:21,43.313782,11.339172,306.6
183317,22.38,27.05,99826.82,0.13,0.6,0.06,23.98,43.53,31/01/2024,09:47:26,43.313782,11.339172,306.6
183318,22.4,27.01,99826.59,0.17,0.6,0.06,24.04,43.2,31/01/2024,09:47:31,43.313782,11.339172,306.6
183319,22.42,26.97,99826.11,0.2,0.62,0.06,24.09,43.01,31/01/2024,09:47:36,43.313782,11.339172,306.6
183320,22.44,26.93,99825.87,0.22,0.63,0.06,24.15,42.96,31/01/2024,09:47:41,43.313782,11.339172,306.6
183321,22.45,26.89,99826.33,0.26,0.63,0.06,24.2,42.94,31/01/2024,09:47:46,43.313782,11.339172,306.6
183322,22.47,26.85,99826.3,0.29,0.63,0.06,24.25,42.85,31/01/2024,09:47:51,43.313782,11.339172,306.6
183323,22.49,26.81,99826.31,0.3,0.63,0.06,24.3,42.68,31/01/2024,09:47:56,43.313782,11.339172,306.6
183324,22.51,26.78,99826.15,0.31,0.63,0.06,24.35,42.58,31/01/2024,09:48:01,43.313782,11.339172,306.6
183325,22.53,26.75,99825.68,0.31,0.64,0.06,24.4,42.5,31/01/2024,09:48:06,43.313782,11.339172,306.6
183326,22.55,26.71,99825.73,0.3,0.65,0.06,24.45,42.42,31/01/2024,09:48:11,43.313782,11.339172,306.6
183327,22.57,26.67,99825.59,0.3,0.66,0.06,24.5,42.46,31/01/2024,09:48:16,43.313782,11.339172,306.6
183328,22.59,26.63,99825.43,0.3,0.67,0.06,24.55,42.4,31/01/2024,09:48:21,43.313782,11.339172,306.6
183329,22.61,26.6,99825.18,0.3,0.67,0.06,24.6,42.16,31/01/2024,09:48:26,43.313782,11.339172,306.6
183330,22.63,26.56,99825.29,0.31,0.67,0.06,24.65,41.79,31/01/2024,09:48:31,43.313782,11.339172,306.6
183331,22.66,26.52,99825.05,0.31,0.68,0.06,24.7,41.4,31/01/2024,09:48:36,43.313782,11.339172,306.6
183332,22.68,26.48,99825.19,0.34,0.7,0.06,24.75,41.01,31/01/2024,09:48:41,43.313782,11.339172,306.6
183333,22.7,26.45,99825.3,0.36,0.71,0.06,24.8,40.72,31/01/2024,09:48:46,43.313782,11.339172,306.6
183334,22.72,26.41,99825.69,0.38,0.71,0.06,24.85,40.48,31/01/2024,09:48:51,43.313782,11.339172,306.6
183335,22.74,26.37,99826.31,0.4,0.71,0.06,24.9,40.32,31/01/2024,09:48:56,43.313782,11.339172,306.6
183336,22.77,26.34,99826.34,0.44,0.71,0.06,24.95,40.21,31/01/2024,09:49:01,43.313782,11.339172,306.6
183337,22.79,26.31,99826.58,0.47,0.71,0.06,25.0,40.07,31/01/2024,09:49:06,43.313782,11.339172,306.6
183338,22.81,26.27,99826.93,0.49,0.71,0.06,25.04,39.92,31/01/2024,09:49:11,43.313782,11.339172,306.6
183339,22.83,26.23,99827.37,0.51,0.72,0.06,25.09,39.81,31/01/2024,09:49:16,43.313782,11.339172,306.6
183340,22.85,26.2,99827.31,0.52,0.72,0.06,25.13,39.75,31/01/2024,09:49:21,43.313782,11.339172,306.6
183341,22.87,26.18,99826.8,0.52,0.72,0.06,25.18,39.69,31/01/2024,09:49:26,43.313782,11.339172,306.6
183342,22.89,26.16,99826.28,0.51,0.71,0.06,25.22,39.62,31/01/2024,09:49:31,43.313782,11.339172,306.6
183343,22.91,26.14,99826.24,0.5,0.72,0.06,25.26,39.54,31/01/2024,09:49:36,43.313782,11.339172,306.6
183344,22.93,26.13,99825.99,0.48,0.72,0.06,25.3,39.45,31/01/2024,09:49:41,43.313782,11.339172,306.6
183345,22.96,26.12,99825.67,0.47,0.73,0.06,25.34,39.23,31/01/2024,09:49:46,43.313782,11.339172,306.6
183346,22.98,26.12,99825.42,0.46,0.74,0.06,25.37,38.97,31/01/2024,09:49:51,43.313782,11.339172,306.6
183347,23.0,26.11,99825.55,0.44,0.75,0.07,25.41,38.76,31/01/2024,09:49:56,43.313782,11.339172,306.6
183348,23.02,26.11,99825.69,0.44,0.76,0.07,25.45,38.66,31/01/2024,09:50:01,43.313782,11.339172,306.6
183349,23.04,26.1,99825.52,0.44,0.76,0.07,25.49,38.66,31/01/2024,09:50:06,43.313782,11.339172,306.6
183350,23.07,26.09,99825.47,0.43,0.77,0.07,25.53,38.67,31/01/2024,09:50:11,43.313782,11.339172,306.6
183351,23.09,26.07,99826.32,0.44,0.77,0.07,25.56,38.62,31/01/2024,09:50:16,43.313782,11.339172,306.6
183352,23.11,26.04,99826.15,0.43,0.77,0.07,25.6,38.59,31/01/2024,09:50:21,43.313782,11.339172,306.6
183353,23.13,26.01,99825.9,0.44,0.76,0.07,25.64,38.57,31/01/2024,09:50:26,43.313782,11.339172,306.6
183354,23.15,25.98,99825.48,0.45,0.77,0.07,25.67,38.57,31/01/2024,09:50:31,43.313782,11.339172,306.6
183355,23.17,25.95,99825.48,0.47,0.76,0.07,25.71,38.65,31/01/2024,09:50:36,43.313782,11.339172,306.6
183356,23.19,25.9,99825.79,0.47,0.76,0.07,25.75,38.75,31/01/2024,09:50:41,43.313782,11.339172,306.6
183357,23.21,25.86,99825.4,0.48,0.76,0.07,25.78,38.72,31/01/2024,09:50:46,43.313782,11.339172,306.6
183358,23.23,25.82,99824.74,0.48,0.76,0.07,25.81,38.55,31/01/2024,09:50:51,43.313782,11.339172,306.6
183359,23.26,25.79,99824.71,0.47,0.75,0.07,25.84,38.24,31/01/2024,09:50:56,43.313782,11.339172,306.6
183360,23.28,25.76,99824.64,0.47,0.74,0.07,25.87,37.96,31/01/2024,09:51:01,43.313782,11.339172,306.6
183361,23.3,25.73,99824.1,0.47,0.75,0.07,25.91,37.79,31/01/2024,09:51:06,43.313782,11.339172,306.6
183362,23.32,25.71,99825.15,0.49,0.75,0.07,25.94,37.66,31/01/2024,09:51:11,43.313782,11.339172,306.6
183363,23.34,25.69,99825.71,0.5,0.76,0.07,25.97,37.48,31/01/2024,09:51:16,43.313782,11.339172,306.6
183364,23.36,25.66,99826.14,0.51,0.76,0.07,26.0,37.21,31/01/2024,09:51:21,43.313782,11.339172,306.6
